Client Id, Transaction Type, Transaction Date, Priority, Processing Fee
AP,BUY,03/11/13,Y,500.0
AP,BUY,09/11/13,Y,500.0
AP,BUY,12/11/13,Y,500.0
AP,SELL,25/11/13,Y,500.0
AP,DEPOSIT,06/11/13,Y,500.0
AP,DEPOSIT,19/11/13,Y,500.0
AS,BUY,06/11/13,N,50.0
AS,SELL,07/11/13,N,100.0
AS,SELL,10/11/13,N,100.0
AS,SELL,13/11/13,N,100.0
AS,SELL,20/11/13,N,100.0
AS,DEPOSIT,02/11/13,N,50.0
GS,BUY,08/11/13,Y,500.0
GS,BUY,23/11/13,Y,500.0
GS,DEPOSIT,11/11/13,Y,500.0
GS,WITHDRAW,01/11/13,Y,500.0
GS,WITHDRAW,05/11/13,Y,500.0
GS,WITHDRAW,26/11/13,Y,500.0
HJ,SELL,04/11/13,N,100.0
HJ,WITHDRAW,30/11/13,N,100.0
